timestamp,sum_oi,sum_oi_value
1782968400000,10701174.89000000,837345031.22865300
1782968700000,10695580.16000000,835416517.71592160
1782969000000,10694896.34000000,837310697.46965350
1782969300000,10697039.45000000,836982605.69769690
1782969600000,10694539.40000000,837022143.25990080
1782969900000,10693923.69000000,835409318.66280000
1782970200000,10685685.96000000,833804075.45880000
1782970500000,10681654.58000000,833838699.24502660
1782970800000,10675055.79000000,830839592.13570000
1782971100000,10667745.15000000,829950572.67000000
1782971400000,10680953.51000000,831725849.82370000
1782971700000,10680912.62000000,833474881.18371490
1782972000000,10680580.73000000,833832937.59110000
1782972300000,10687534.93000000,833291736.12251630
1782972600000,10686608.18000000,833246340.82918940
1782972900000,10691307.83000000,834269122.22392430
1782973200000,10692536.23000000,836062061.58492530
1782973500000,10693857.66000000,836708413.64996930
1782973800000,10699998.93000000,836715558.31343580
1782974100000,10705695.01000000,840366026.97155790
1782974400000,10707622.89000000,838513948.51590000
1782974700000,10702101.70000000,835727121.75300000
1782975000000,10711336.18000000,833714275.92240210
1782975300000,10696736.98000000,832847941.26280000
1782975600000,10716973.49000000,834423555.93140000
1782975900000,10722313.17000000,833767072.09920000
1782976200000,10709386.87000000,833083204.61730000
1782976500000,10712759.12000000,833057735.38508260
1782976800000,10733953.63000000,833620819.35934580
1782977100000,10735896.44000000,835145384.06760000
1782977400000,10735840.41000000,834164468.75777340
1782977700000,10744053.69000000,835027852.78680000
1782978000000,10743985.50000000,836008964.92258620
1782978300000,10771573.45000000,839536434.69300000
1782978600000,10775090.39000000,841319057.65120000
1782978900000,10775362.36000000,840155003.20920000
1782979200000,10788433.30000000,840958375.73500000
1782979500000,10793094.85000000,842077260.19700000
1782979800000,10775215.01000000,841975300.88140000
1782980100000,10784158.37000000,842242768.69700000
1782980400000,10791451.35000000,844215239.11050000
1782980700000,10796596.04000000,844401776.28840000
1782981000000,10795925.90000000,843809568.34400000
1782981300000,10800434.68000000,846214057.17800000
1782981600000,10806979.02000000,846726806.21700000
1782981900000,10805603.68000000,846785456.02940050
1782982200000,10808779.11000000,847067896.90813060
1782982500000,10808156.67000000,847283129.78602040
1782982800000,10811744.15000000,848060799.02748100
1782983100000,10821511.54000000,848298289.62060000
1782983400000,10823174.64000000,848645123.52240000
1782983700000,10816053.14000000,847870405.64460000
1782984000000,10818470.17000000,848059876.62630000
1782984300000,10815495.58000000,849881642.67640000
1782984600000,10818760.36000000,852383963.26790650
