timestamp,sum_oi,sum_oi_value
1782994800000,8706273.29000000,66559459.30205000
1782995100000,8698670.93000000,66605723.31101000
1782995400000,8681703.84000000,66692848.89888000
1782995700000,8694644.42000000,66887899.52306000
1782996000000,8695579.20000000,66947264.26080000
1782996300000,8702117.31000000,67032409.63893000
1782996600000,8736857.37000000,67474749.46851000
1782996900000,8746944.26000000,67717248.41779806
1782997200000,8764861.18000000,67813730.94966000
1782997500000,8782949.00000000,67980025.26000000
1782997800000,8780732.25000000,67923518.34395343
1782998100000,8781145.96000000,67930945.14656000
1782998400000,8786531.86000000,68174744.37080334
1782998700000,8796247.73000000,68426011.09167000
1782999000000,8811096.34000000,68515085.13984000
1782999300000,8778566.82000000,69223874.90392616
1782999600000,8747948.63000000,69050120.81074373
1782999900000,8758046.63000000,69141194.70149086
1783000200000,8774055.78000000,69209751.99264000
1783000500000,8775247.86000000,69152192.08078513
1783000800000,8778301.88000000,69120349.00312000
1783001100000,8751880.15000000,69087341.90410000
1783001400000,8768713.03000000,69036077.68519000
1783001700000,8782616.88000000,69484291.83017452
1783002000000,8819932.67000000,69606908.63164000
1783002300000,8815593.43000000,69466876.22840000
1783002600000,8782518.25000000,68984851.98214962
1783002900000,8761744.51000000,68683315.21389000
1783003200000,8755117.18000000,68351199.82426000
1783003500000,8756112.09000000,68175088.73274000
1783003800000,8779783.39000000,68521355.98248984
1783004100000,8783451.91000000,68308905.50407000
1783004400000,8783505.50000000,68485773.67631422
1783004700000,8777545.67000000,68254195.12992000
1783005000000,8773570.57000000,68077882.99933456
1783005300000,8767823.69000000,68161061.36606000
1783005600000,8767691.06000000,67984676.47924000
1783005900000,8759495.94000000,68192675.89290000
1783006200000,8758106.88000000,68138071.52640000
1783006500000,8765525.14000000,68263381.37459336
1783006800000,8765792.74000000,68215399.10268000
1783007100000,8763807.78000000,68395324.32426609
1783007400000,8764549.30000000,68179429.00470000
1783007700000,8764988.68000000,68221885.06185219
1783008000000,8769604.83000000,68253834.39189000
1783008300000,8773701.10000000,68335980.28263890
1783008600000,8775370.61000000,68325035.56946000
1783008900000,8784281.12000000,68547424.78766430
1783009200000,8780778.83000000,68239646.44711389
1783009500000,8782267.94000000,68238221.89380000
1783009800000,8766233.24000000,67736684.24548000
1783010100000,8763773.06000000,67866658.57664000
1783010400000,8759179.59000000,67890491.67612298
1783010700000,8759601.92000000,68051219.60917363
1783011000000,8766738.95000000,68402371.16080551
1783011300000,8769090.94000000,68249834.78602000
1783011600000,8774681.73000000,68188051.72383000
1783011900000,8782749.65000000,68224399.28120000
1783012200000,8786130.64000000,68236237.91795786
1783012500000,8790368.70000000,68327535.90510000
1783012800000,8792585.45000000,68388729.63010000
1783013100000,8794212.04000000,68418969.67120000
1783013400000,8795890.97000000,68509019.27761640
1783013700000,8843114.50000000,68752728.46527146
1783014000000,8802603.91000000,68264193.32205000
1783014300000,8811144.80000000,68427350.51680000
1783014600000,8812361.22000000,68327495.49146526
1783014900000,8811651.96000000,68421105.40707330
1783015200000,8808783.12000000,68291851.30884303
1783015500000,8806255.43000000,68290678.45402013
1783015800000,8801588.86000000,68405948.61992000
1783016100000,8802162.00000000,68383996.57800000
1783016400000,8794611.01000000,68281359.88164000
1783016700000,8793793.41000000,68327774.79570000
1783017000000,8791482.50000000,68344984.95500000
1783017300000,8785215.41000000,68217197.65865000
1783017600000,8785173.34000000,68287152.37182000
1783017900000,8784072.21000000,68278593.28833000
1783018200000,8799539.74000000,68461939.73766707
1783018500000,8795717.81000000,68302345.18774815
1783018800000,8796361.04000000,68233372.58728000
1783019100000,8800894.59000000,68236536.81765027
1783019400000,8796692.30000000,68147975.24810000
1783019700000,8800260.71000000,68246021.80605000
1783020000000,8789382.73000000,67965351.41683100
1783020300000,8782958.47000000,67837737.07706271
1783020600000,8784032.28000000,67900569.52440000
1783020900000,8785474.09000000,67938636.83464666
1783021200000,8789006.15000000,67943232.92262967
1783021500000,8788722.53000000,68014830.43047449
1783021800000,8783128.75000000,68017506.13753990
1783022100000,8784379.92000000,68112297.00152406
1783022400000,8771108.43000000,67905921.46506000
1783022700000,8766229.21000000,67825086.56295360
1783023000000,8764219.16000000,67799999.42176000
1783023300000,8760750.55000000,67789403.34226187
1783023600000,8757790.43000000,67707291.41306095
1783023900000,8749521.53000000,67563805.25466000
1783024200000,8758290.61000000,67573263.35701562
1783024500000,8751845.86000000,67599087.63683031
1783024800000,8750830.50000000,67582663.95150000
1783025100000,8754522.26000000,67597210.81288740
1783025400000,8749081.17000000,67665393.76878000
1783025700000,8744795.56000000,67563369.16709232
1783026000000,8740594.32000000,67708683.06838499
1783026300000,8736984.59000000,67624260.72660000
1783026600000,8733965.65000000,67592160.16535000
1783026900000,8730653.67000000,67627379.83669224
1783027200000,8729553.58000000,67542554.41786553
1783027500000,8727357.87000000,67541022.55593000
1783027800000,8723116.95000000,67473481.45365392
1783028100000,8718194.66000000,67432165.40848659
1783028400000,8718470.20000000,67443319.53252906
1783028700000,8716357.90000000,67353612.03497677
1783029000000,8713513.71000000,67294466.38233000
1783029300000,8720426.70000000,67384878.58608472
1783029600000,8720737.57000000,67472346.57909000
1783029900000,8714803.61000000,67321857.88725000
1783030200000,8712211.94000000,67249356.78846006
1783030500000,8707645.41000000,67113155.41661550
1783030800000,8699512.70000000,67061720.41242885
1783031100000,8694040.35000000,66991043.29831938
1783031400000,8684167.50000000,66871432.54659578
1783031700000,8673338.71000000,66793381.40571000
1783032000000,8670776.38000000,66756307.34962000
1783032300000,8666256.01000000,66704172.50897000
1783032600000,8664201.98000000,66672963.75388095
1783032900000,8665929.95000000,66961640.72365000
1783033200000,8655685.07000000,66724409.54038072
1783033500000,8657824.93000000,66661502.25702282
1783033800000,8650798.61000000,66671704.88727000
1783034100000,8645449.00000000,66569957.30000000
1783034400000,8646043.26000000,66646610.40933482
1783034700000,8642867.83000000,66812812.94087365
1783035000000,8638930.22000000,66874148.37114903
1783035300000,8630401.40000000,66897463.92958678
1783035600000,8629440.85000000,66817760.50155000
1783035900000,8626224.11000000,66814271.50809720
1783036200000,8639822.46000000,66979216.47704584
1783036500000,8643551.64000000,66961594.55508000
1783036800000,8638870.43000000,66908051.48035000
1783037100000,8635975.07000000,66891299.19829547
1783037400000,8642700.42000000,66847077.45719039
1783037700000,8644241.99000000,66979317.01538111
1783038000000,8643079.05000000,66975219.55845000
1783038300000,8642183.47000000,66838680.14296453
1783038600000,8642789.41000000,66784074.70277349
1783038900000,8650813.71000000,66855749.76009193
1783039200000,8659902.42000000,66969059.88473553
1783039500000,8657881.09000000,66918050.02521284
1783039800000,8657114.90000000,66919498.17700000
1783040100000,8656685.72000000,66890210.55844000
1783040400000,8656630.63000000,66887578.38942872
1783040700000,8657076.99000000,67047626.63675122
1783041000000,8650214.24000000,67221462.24107373
1783041300000,8641431.37000000,67314341.74613424
1783041600000,8627316.40000000,67094639.64280000
1783041900000,8628785.68000000,67183725.30448000
1783042200000,8644278.32000000,67269773.88624000
1783042500000,8644019.37000000,67471270.24465992
1783042800000,8648048.43000000,67653682.86789000
1783043100000,8649476.17000000,67570887.28261054
1783043400000,8651181.95000000,67647703.14127174
1783043700000,8648369.61000000,67596621.59739000
1783044000000,8648982.46000000,67539904.03014000
1783044300000,8647080.33000000,67412638.25268000
1783044600000,8646681.03000000,67439379.10020460
1783044900000,8643522.97000000,67126614.73966329
1783045200000,8650494.58000000,67179740.90828000
1783045500000,8648588.93000000,67274404.48534800
1783045800000,8644896.86000000,67056701.64340746
1783046100000,8628033.71000000,67014180.35959759
1783046400000,8629497.34000000,66973528.85574000
1783046700000,8625790.27000000,66944758.28547000
1783047000000,8642447.89000000,67074740.18675658
1783047300000,8637683.97000000,67133395.24773179
1783047600000,8635811.79000000,67177979.91441000
1783047900000,8631042.43000000,67080461.76596000
1783048200000,8627201.59000000,66929829.93522000
1783048500000,8627000.45000000,66816118.48525000
1783048800000,8626664.04000000,66994672.93464000
1783049100000,8620580.72000000,67111220.90520000
1783049400000,8618047.33000000,67084858.17240176
1783049700000,8620627.60000000,67163309.63160000
1783050000000,8617556.62000000,67001502.72050000
1783050300000,8623142.79000000,66920317.93045174
1783050600000,8628505.03000000,67052112.58813000
1783050900000,8627309.15000000,67034192.09550000
1783051200000,8629847.12000000,66984873.34544000
1783051500000,8646353.25000000,67009237.68750000
1783051800000,8650790.39000000,66905212.87626000
1783052100000,8650325.79000000,66979472.59197000
1783052400000,8649377.97000000,66920237.35389000
1783052700000,8650357.15000000,66953764.34100000
1783053000000,8648963.38000000,66968923.45134000
1783053300000,8650168.05000000,66874449.19455000
1783053600000,8650417.44000000,66980182.23792000
1783053900000,8649722.02000000,67026695.93298000
1783054200000,8648465.63000000,66922528.17604862
1783054500000,8645358.35000000,66865726.26935253
1783054800000,8639859.30000000,66787562.67578210
1783055100000,8636495.14000000,66884453.35737203
1783055400000,8633497.36000000,66788735.57696000
1783055700000,8630340.22000000,66772942.28214000
1783056000000,8634862.05000000,66885641.43930000
1783056300000,8629574.23000000,66827422.83712000
1783056600000,8625356.11000000,66850203.83376123
1783056900000,8630032.23000000,67107130.62048000
1783057200000,8620932.43000000,67018819.13313644
1783057500000,8622011.44000000,66948223.74415090
1783057800000,8619567.41000000,66999897.47793000
1783058100000,8624444.55000000,67063680.82080000
1783058400000,8625333.62000000,67036092.89464000
1783058700000,8620539.58000000,67162623.86778000
1783059000000,8631112.44000000,67374463.70664000
1783059300000,8610759.25000000,67103646.83525000
1783059600000,8605509.33000000,67002495.64338000
1783059900000,8606411.73000000,66966489.67113000
1783060200000,8606284.71000000,66991320.18264000
1783060500000,8598350.93000000,66920965.28819000
1783060800000,8599986.61000000,66744496.08021000
1783061100000,8578190.67000000,66643963.31523000
1783061400000,8576723.77000000,66673011.19620533
1783061700000,8574870.02000000,66728225.44280940
1783062000000,8574843.33000000,66635107.51743000
1783062300000,8572732.57000000,66567268.40605000
1783062600000,8570025.98000000,66584279.76808184
1783062900000,8568266.45000000,66575325.09818799
1783063200000,8567052.36000000,66575563.92158198
1783063500000,8565976.27000000,66631021.36452224
1783063800000,8565047.90000000,66619979.10829686
1783064100000,8557249.49000000,66507891.00837851
1783064400000,8552214.74000000,66501166.34019956
1783064700000,8551797.70000000,66558641.49910000
1783065000000,8550764.80000000,66475982.56472749
